"Data_point","company","year","value"
"SIZE","AAK","2010",9.13
"Sales","AAK","2010",14808
"FSD","AAK","2010",1
"FSTS","AAK","2010",0.87
"Tobin's Q","AAK","2010",1.49
"FXD","AAK","2010",1
"Gross FXD","AAK","2010",1217
"DERIV","AAK","2010",0.08
"R&D/sales","AAK","2010",0.028
"Leverage","AAK","2010",1
"Quick ratio","AAK","2010",0.209
"Capex/sales","AAK","2010",0.023
"ROA ","AAK","2010",0.068
"DD","AAK","2010",1
"ID","AAK","2010",0
"DE","AAK","2010",0
"DDE","AAK","2010",0
"SIZE","Active Biotech","2010",6.22
"Sales","Active Biotech","2010",11.4
"FSD","Active Biotech","2010",1
"FSTS","Active Biotech","2010",0.52
"Tobin's Q","Active Biotech","2010",22.81
"FXD","Active Biotech","2010",0
"Gross FXD","Active Biotech","2010",0
"DERIV","Active Biotech","2010",0
"R&D/sales","Active Biotech","2010",19.06
"Leverage","Active Biotech","2010",1.37
"Quick ratio","Active Biotech","2010",1.64
"Capex/sales","Active Biotech","2010",7.98
"ROA ","Active Biotech","2010",-0.44
"DD","Active Biotech","2010",0
"ID","Active Biotech","2010",0
"DE","Active Biotech","2010",0
"DDE","Active Biotech","2010",0
"SIZE","Alfa Laval","2010",10.21
"Sales","Alfa Laval","2010",24720
"FSD","Alfa Laval","2010",1
"FSTS","Alfa Laval","2010",0.97
"Tobin's Q","Alfa Laval","2010",2.7
"FXD","Alfa Laval","2010",1
"Gross FXD","Alfa Laval","2010",6660
"DERIV","Alfa Laval","2010",0.27
"R&D/sales","Alfa Laval","2010",0.025
"Leverage","Alfa Laval","2010",0.1
"Quick ratio","Alfa Laval","2010",0.167
"Capex/sales","Alfa Laval","2010",0.017
"ROA ","Alfa Laval","2010",0.115
"DD","Alfa Laval","2010",1
"ID","Alfa Laval","2010",0
"DE","Alfa Laval","2010",122
"DDE","Alfa Laval","2010",1
"SIZE","Arcam","2010",4.48
"Sales","Arcam","2010",90.5
"FSD","Arcam","2010",1
"FSTS","Arcam","2010",0.4
"Tobin's Q","Arcam","2010",2.03
"FXD","Arcam","2010",0
"Gross FXD","Arcam","2010",0
"DERIV","Arcam","2010",0
"R&D/sales","Arcam","2010",0.134
"Leverage","Arcam","2010",0
"Quick ratio","Arcam","2010",0.82
"Capex/sales","Arcam","2010",0.063
"ROA ","Arcam","2010",0.02
"DD","Arcam","2010",0
"ID","Arcam","2010",0
"DE","Arcam","2010",0
"DDE","Arcam","2010",0
"SIZE","ASSA ABLOY B","2010",10.72
"Sales","ASSA ABLOY B","2010",36823
"FSD","ASSA ABLOY B","2010",1
"FSTS","ASSA ABLOY B","2010",0.95
"Tobin's Q","ASSA ABLOY B","2010",2.07
"FXD","ASSA ABLOY B","2010",1
"Gross FXD","ASSA ABLOY B","2010",4974
"DERIV","ASSA ABLOY B","2010",0.14
"R&D/sales","ASSA ABLOY B","2010",0.028
"Leverage","ASSA ABLOY B","2010",0.51
"Quick ratio","ASSA ABLOY B","2010",0.117
"Capex/sales","ASSA ABLOY B","2010",0.019
"ROA ","ASSA ABLOY B","2010",0.09
"DD","ASSA ABLOY B","2010",1
"ID","ASSA ABLOY B","2010",0
"DE","ASSA ABLOY B","2010",-1249
"DDE","ASSA ABLOY B","2010",0
"SIZE","Atlas Copco","2010",11.18
"Sales","Atlas Copco","2010",69875
"FSD","Atlas Copco","2010",1
"FSTS","Atlas Copco","2010",0.977
"Tobin's Q","Atlas Copco","2010",3.41
"FXD","Atlas Copco","2010",1
"Gross FXD","Atlas Copco","2010",321
"DERIV","Atlas Copco","2010",0
"R&D/sales","Atlas Copco","2010",0.022
"Leverage","Atlas Copco","2010",0.19
"Quick ratio","Atlas Copco","2010",0.75
"Capex/sales","Atlas Copco","2010",0.032
"ROA ","Atlas Copco","2010",0.14
"DD","Atlas Copco","2010",1
"ID","Atlas Copco","2010",1
"DE","Atlas Copco","2010",1983
"DDE","Atlas Copco","2010",1
"SIZE","B&B tools","2010",8.61
"Sales","B&B tools","2010",7648
"FSD","B&B tools","2010",1
"FSTS","B&B tools","2010",0.51
"Tobin's Q","B&B tools","2010",1.23
"FXD","B&B tools","2010",1
"Gross FXD","B&B tools","2010",147
"DERIV","B&B tools","2010",0.02
"R&D/sales","B&B tools","2010",0
"Leverage","B&B tools","2010",1.1
"Quick ratio","B&B tools","2010",0.12
"Capex/sales","B&B tools","2010",0.002
"ROA ","B&B tools","2010",0.024
"DD","B&B tools","2010",1
"ID","B&B tools","2010",0
"DE","B&B tools","2010",11
"DDE","B&B tools","2010",1
"SIZE","Beijer alma","2010",7.59
"Sales","Beijer alma","2010",2290
"FSD","Beijer alma","2010",1
"FSTS","Beijer alma","2010",0.69
"Tobin's Q","Beijer alma","2010",2.69
"FXD","Beijer alma","2010",1
"Gross FXD","Beijer alma","2010",330.5
"DERIV","Beijer alma","2010",0.14
"R&D/sales","Beijer alma","2010",0.006
"Leverage","Beijer alma","2010",0.11
"Quick ratio","Beijer alma","2010",0.61
"Capex/sales","Beijer alma","2010",0.024
"ROA ","Beijer alma","2010",0.15
"DD","Beijer alma","2010",1
"ID","Beijer alma","2010",1
"DE","Beijer alma","2010",8.4
"DDE","Beijer alma","2010",1
"SIZE","Beijer ref","2010",8.29
"Sales","Beijer ref","2010",4992
"FSD","Beijer ref","2010",1
"FSTS","Beijer ref","2010",0.93
"Tobin's Q","Beijer ref","2010",1.9
"FXD","Beijer ref","2010",0
"Gross FXD","Beijer ref","2010",0
"DERIV","Beijer ref","2010",0
"R&D/sales","Beijer ref","2010",0.00024
"Leverage","Beijer ref","2010",0.24
"Quick ratio","Beijer ref","2010",0.13
"Capex/sales","Beijer ref","2010",0.007
"ROA ","Beijer ref","2010",0.065
"DD","Beijer ref","2010",1
"ID","Beijer ref","2010",0
"DE","Beijer ref","2010",0
"DDE","Beijer ref","2010",0
"SIZE","Bilia","2010",8.5
"Sales","Bilia","2010",16257
"FSD","Bilia","2010",1
"FSTS","Bilia","2010",0.36
"Tobin's Q","Bilia","2010",1.3
"FXD","Bilia","2010",0
"Gross FXD","Bilia","2010",0
"DERIV","Bilia","2010",0
"R&D/sales","Bilia","2010",0
"Leverage","Bilia","2010",0.35
"Quick ratio","Bilia","2010",0.03
"Capex/sales","Bilia","2010",0.016
"ROA ","Bilia","2010",0.08
"DD","Bilia","2010",1
"ID","Bilia","2010",0
"DE","Bilia","2010",0
"DDE","Bilia","2010",0
"SIZE","BioGaia","2010",5.4
"Sales","BioGaia","2010",236
"FSD","BioGaia","2010",1
"FSTS","BioGaia","2010",0.779661017
"Tobin's Q","BioGaia","2010",7.46
"FXD","BioGaia","2010",0
"Gross FXD","BioGaia","2010",0
"DERIV","BioGaia","2010",0
"R&D/sales","BioGaia","2010",0.12
"Leverage","BioGaia","2010",0
"Quick ratio","BioGaia","2010",3.6
"Capex/sales","BioGaia","2010",0
"ROA ","BioGaia","2010",0.21
"DD","BioGaia","2010",1
"ID","BioGaia","2010",0
"DE","BioGaia","2010",0
"DDE","BioGaia","2010",0
"SIZE","Boliden","2010",10.51
"Sales","Boliden","2010",36716
"FSD","Boliden","2010",1
"FSTS","Boliden","2010",0.75
"Tobin's Q","Boliden","2010",1.51
"FXD","Boliden","2010",1
"Gross FXD","Boliden","2010",3312
"DERIV","Boliden","2010",0.09
"R&D/sales","Boliden","2010",0.0078
"Leverage","Boliden","2010",0.29
"Quick ratio","Boliden","2010",0.11
"Capex/sales","Boliden","2010",0.079
"ROA ","Boliden","2010",0.108
"DD","Boliden","2010",1
"ID","Boliden","2010",1
"DE","Boliden","2010",-305
"DDE","Boliden","2010",0
"SIZE","Bure equity","2010",8
"Sales","Bure equity","2010",792
"FSD","Bure equity","2010",1
"FSTS","Bure equity","2010",0.28
"Tobin's Q","Bure equity","2010",1.2
"FXD","Bure equity","2010",0
"Gross FXD","Bure equity","2010",0
"DERIV","Bure equity","2010",0
"R&D/sales","Bure equity","2010",0
"Leverage","Bure equity","2010",0.17
"Quick ratio","Bure equity","2010",2.4
"Capex/sales","Bure equity","2010",0
"ROA ","Bure equity","2010",0.146
"DD","Bure equity","2010",1
"ID","Bure equity","2010",0
"DE","Bure equity","2010",0
"DDE","Bure equity","2010",0
"SIZE","Catena","2010",7.68
"Sales","Catena","2010",168
"FSD","Catena","2010",1
"FSTS","Catena","2010",0.35
"Tobin's Q","Catena","2010",1.4
"FXD","Catena","2010",0
"Gross FXD","Catena","2010",0
"DERIV","Catena","2010",0
"R&D/sales","Catena","2010",0
"Leverage","Catena","2010",1.2
"Quick ratio","Catena","2010",0.2
"Capex/sales","Catena","2010",0.024
"ROA ","Catena","2010",0.161
"DD","Catena","2010",1
"ID","Catena","2010",0
"DE","Catena","2010",0
"DDE","Catena","2010",0
"SIZE","Cavotec","2010",9.63
"Sales","Cavotec","2010",13514
"FSD","Cavotec","2010",1
"FSTS","Cavotec","2010",0.74
"Tobin's Q","Cavotec","2010",2.45
"FXD","Cavotec","2010",0
"Gross FXD","Cavotec","2010",0
"DERIV","Cavotec","2010",0
"R&D/sales","Cavotec","2010",0
"Leverage","Cavotec","2010",0.24
"Quick ratio","Cavotec","2010",0.115
"Capex/sales","Cavotec","2010",0.017
"ROA ","Cavotec","2010",0.12
"DD","Cavotec","2010",1
"ID","Cavotec","2010",1
"DE","Cavotec","2010",0
"DDE","Cavotec","2010",0
"SIZE","Clas Ohlson","2010",7.95
"Sales","Clas Ohlson","2010",5556
"FSD","Clas Ohlson","2010",1
"FSTS","Clas Ohlson","2010",0.5
"Tobin's Q","Clas Ohlson","2010",3.32
"FXD","Clas Ohlson","2010",1
"Gross FXD","Clas Ohlson","2010",254
"DERIV","Clas Ohlson","2010",0.05
"R&D/sales","Clas Ohlson","2010",0
"Leverage","Clas Ohlson","2010",0.16
"Quick ratio","Clas Ohlson","2010",0.1
"Capex/sales","Clas Ohlson","2010",0.06
"ROA ","Clas Ohlson","2010",0.15
"DD","Clas Ohlson","2010",1
"ID","Clas Ohlson","2010",0
"DE","Clas Ohlson","2010",19
"DDE","Clas Ohlson","2010",1
"SIZE","Duni","2010",8.2
"Sales","Duni","2010",3971
"FSD","Duni","2010",1
"FSTS","Duni","2010",0.92
"Tobin's Q","Duni","2010",1.27
"FXD","Duni","2010",0
"Gross FXD","Duni","2010",0
"DERIV","Duni","2010",0
"R&D/sales","Duni","2010",0.006
"Leverage","Duni","2010",0.27
"Quick ratio","Duni","2010",0.16
"Capex/sales","Duni","2010",0.003
"ROA ","Duni","2010",0.088
"DD","Duni","2010",1
"ID","Duni","2010",0
"DE","Duni","2010",0
"DDE","Duni","2010",0
"SIZE","Electrolux B","2010",11.21
"Sales","Electrolux B","2010",106326
"FSD","Electrolux B","2010",1
"FSTS","Electrolux B","2010",0.968
"Tobin's Q","Electrolux B","2010",1.46
"FXD","Electrolux B","2010",1
"Gross FXD","Electrolux B","2010",35960
"DERIV","Electrolux B","2010",0.34
"R&D/sales","Electrolux B","2010",0.019
"Leverage","Electrolux B","2010",0.59
"Quick ratio","Electrolux B","2010",0.289
"Capex/sales","Electrolux B","2010",0.03
"ROA ","Electrolux B","2010",0.05
"DD","Electrolux B","2010",1
"ID","Electrolux B","2010",0
"DE","Electrolux B","2010",-117
"DDE","Electrolux B","2010",0
"SIZE","Eniro","2010",9.3
"Sales","Eniro","2010",5326
"FSD","Eniro","2010",1
"FSTS","Eniro","2010",0.58
"Tobin's Q","Eniro","2010",0.94
"FXD","Eniro","2010",0
"Gross FXD","Eniro","2010",0
"DERIV","Eniro","2010",0
"R&D/sales","Eniro","2010",0.05
"Leverage","Eniro","2010",1.14
"Quick ratio","Eniro","2010",0.17
"Capex/sales","Eniro","2010",0.01
"ROA ","Eniro","2010",-0.436
"DD","Eniro","2010",0
"ID","Eniro","2010",1
"DE","Eniro","2010",0
"DDE","Eniro","2010",0
"SIZE","Ericsson B","2010",12.5
"Sales","Ericsson B","2010",203348
"FSD","Ericsson B","2010",1
"FSTS","Ericsson B","2010",0.979
"Tobin's Q","Ericsson B","2010",1.37
"FXD","Ericsson B","2010",1
"Gross FXD","Ericsson B","2010",12224
"DERIV","Ericsson B","2010",0.06
"R&D/sales","Ericsson B","2010",0.16
"Leverage","Ericsson B","2010",0.247
"Quick ratio","Ericsson B","2010",2.28
"Capex/sales","Ericsson B","2010",0.016
"ROA ","Ericsson B","2010",0.04
"DD","Ericsson B","2010",1
"ID","Ericsson B","2010",0
"DE","Ericsson B","2010",592
"DDE","Ericsson B","2010",1
"SIZE","Fagerhult","2010",9.2
"Sales","Fagerhult","2010",16332
"FSD","Fagerhult","2010",1
"FSTS","Fagerhult","2010",0.81
"Tobin's Q","Fagerhult","2010",1.85
"FXD","Fagerhult","2010",1
"Gross FXD","Fagerhult","2010",2166
"DERIV","Fagerhult","2010",0.13
"R&D/sales","Fagerhult","2010",0
"Leverage","Fagerhult","2010",1.43
"Quick ratio","Fagerhult","2010",0.172
"Capex/sales","Fagerhult","2010",0.02
"ROA ","Fagerhult","2010",0.031
"DD","Fagerhult","2010",1
"ID","Fagerhult","2010",1
"DE","Fagerhult","2010",-117
"DDE","Fagerhult","2010",0
"SIZE","Getinge B","2010",10.45
"Sales","Getinge B","2010",22172
"FSD","Getinge B","2010",1
"FSTS","Getinge B","2010",0.984
"Tobin's Q","Getinge B","2010",1.59
"FXD","Getinge B","2010",1
"Gross FXD","Getinge B","2010",10619
"DERIV","Getinge B","2010",0.48
"R&D/sales","Getinge B","2010",0.02
"Leverage","Getinge B","2010",0.96
"Quick ratio","Getinge B","2010",0.17
"Capex/sales","Getinge B","2010",0.027
"ROA ","Getinge B","2010",0.066
"DD","Getinge B","2010",1
"ID","Getinge B","2010",0
"DE","Getinge B","2010",176
"DDE","Getinge B","2010",1
"SIZE","Hennes and Mauritz B","2010",10.99
"Sales","Hennes and Mauritz B","2010",108483
"FSD","Hennes and Mauritz B","2010",1
"FSTS","Hennes and Mauritz B","2010",0.94
"Tobin's Q","Hennes and Mauritz B","2010",6.88
"FXD","Hennes and Mauritz B","2010",1
"Gross FXD","Hennes and Mauritz B","2010",21864
"DERIV","Hennes and Mauritz B","2010",0.2
"R&D/sales","Hennes and Mauritz B","2010",0
"Leverage","Hennes and Mauritz B","2010",0
"Quick ratio","Hennes and Mauritz B","2010",1.21
"Capex/sales","Hennes and Mauritz B","2010",0.001
"ROA ","Hennes and Mauritz B","2010",0.32
"DD","Hennes and Mauritz B","2010",1
"ID","Hennes and Mauritz B","2010",0
"DE","Hennes and Mauritz B","2010",386
"DDE","Hennes and Mauritz B","2010",1
"SIZE","Investor","2010",12.1
"Sales","Investor","2010",2943
"FSD","Investor","2010",1
"FSTS","Investor","2010",0.51
"Tobin's Q","Investor","2010",0.66
"FXD","Investor","2010",1
"Gross FXD","Investor","2010",24301
"DERIV","Investor","2010",8.26
"R&D/sales","Investor","2010",0.08
"Leverage","Investor","2010",0.25
"Quick ratio","Investor","2010",0.47
"Capex/sales","Investor","2010",10.21
"ROA ","Investor","2010",0.17
"DD","Investor","2010",1
"ID","Investor","2010",1
"DE","Investor","2010",209
"DDE","Investor","2010",1
"SIZE","Kinnevik","2010",11.1
"Sales","Kinnevik","2010",8593
"FSD","Kinnevik","2010",1
"FSTS","Kinnevik","2010",0.23
"Tobin's Q","Kinnevik","2010",0.75
"FXD","Kinnevik","2010",0
"Gross FXD","Kinnevik","2010",0
"DERIV","Kinnevik","2010",0
"R&D/sales","Kinnevik","2010",0.009
"Leverage","Kinnevik","2010",0.142
"Quick ratio","Kinnevik","2010",0.09
"Capex/sales","Kinnevik","2010",0.18
"ROA ","Kinnevik","2010",0.2
"DD","Kinnevik","2010",1
"ID","Kinnevik","2010",1
"DE","Kinnevik","2010",0
"DDE","Kinnevik","2010",0
"SIZE","Lundin Petroleum","2010",9.77
"Sales","Lundin Petroleum","2010",5794
"FSD","Lundin Petroleum","2010",1
"FSTS","Lundin Petroleum","2010",0.991
"Tobin's Q","Lundin Petroleum","2010",2.1
"FXD","Lundin Petroleum","2010",1
"Gross FXD","Lundin Petroleum","2010",3909
"DERIV","Lundin Petroleum","2010",0.67
"R&D/sales","Lundin Petroleum","2010",0
"Leverage","Lundin Petroleum","2010",0.48
"Quick ratio","Lundin Petroleum","2010",0.25
"Capex/sales","Lundin Petroleum","2010",0.47
"ROA ","Lundin Petroleum","2010",0.053
"DD","Lundin Petroleum","2010",1
"ID","Lundin Petroleum","2010",0
"DE","Lundin Petroleum","2010",-320
"DDE","Lundin Petroleum","2010",0
"SIZE","Modern times group B","2010",9.55
"Sales","Modern times group B","2010",13101
"FSD","Modern times group B","2010",1
"FSTS","Modern times group B","2010",0.79
"Tobin's Q","Modern times group B","2010",2.68
"FXD","Modern times group B","2010",1
"Gross FXD","Modern times group B","2010",3765
"DERIV","Modern times group B","2010",0.29
"R&D/sales","Modern times group B","2010",0
"Leverage","Modern times group B","2010",0.46
"Quick ratio","Modern times group B","2010",0.112
"Capex/sales","Modern times group B","2010",0.012
"ROA ","Modern times group B","2010",0.173
"DD","Modern times group B","2010",1
"ID","Modern times group B","2010",0
"DE","Modern times group B","2010",-1696
"DDE","Modern times group B","2010",0
"SIZE","Mycronic","2010",6.57
"Sales","Mycronic","2010",1288
"FSD","Mycronic","2010",1
"FSTS","Mycronic","2010",0.98
"Tobin's Q","Mycronic","2010",1.59
"FXD","Mycronic","2010",1
"Gross FXD","Mycronic","2010",375
"DERIV","Mycronic","2010",0.29
"R&D/sales","Mycronic","2010",0.25
"Leverage","Mycronic","2010",0.009
"Quick ratio","Mycronic","2010",1.58
"Capex/sales","Mycronic","2010",0
"ROA ","Mycronic","2010",0.103
"DD","Mycronic","2010",1
"ID","Mycronic","2010",1
"DE","Mycronic","2010",-4
"DDE","Mycronic","2010",0
"SIZE","Sandvik","2010",11.41
"Sales","Sandvik","2010",82654
"FSD","Sandvik","2010",1
"FSTS","Sandvik","2010",0.954
"Tobin's Q","Sandvik","2010",2.35
"FXD","Sandvik","2010",1
"Gross FXD","Sandvik","2010",6300
"DERIV","Sandvik","2010",0.08
"R&D/sales","Sandvik","2010",0.025
"Leverage","Sandvik","2010",0.87
"Quick ratio","Sandvik","2010",0.194
"Capex/sales","Sandvik","2010",0.041
"ROA ","Sandvik","2010",0.077
"DD","Sandvik","2010",1
"ID","Sandvik","2010",0
"DE","Sandvik","2010",453
"DDE","Sandvik","2010",1
"SIZE","SCA B","2010",11.9
"Sales","SCA B","2010",82731
"FSD","SCA B","2010",1
"FSTS","SCA B","2010",0.9
"Tobin's Q","SCA B","2010",1.05
"FXD","SCA B","2010",1
"Gross FXD","SCA B","2010",25051
"DERIV","SCA B","2010",0.3
"R&D/sales","SCA B","2010",0.0086
"Leverage","SCA B","2010",0.55
"Quick ratio","SCA B","2010",0.05
"Capex/sales","SCA B","2010",0.061
"ROA ","SCA B","2010",0.039
"DD","SCA B","2010",1
"ID","SCA B","2010",0
"DE","SCA B","2010",5105
"DDE","SCA B","2010",1
"SIZE","Securitas B","2010",10.4
"Sales","Securitas B","2010",61339
"FSD","Securitas B","2010",1
"FSTS","Securitas B","2010",0.93
"Tobin's Q","Securitas B","2010",1.6
"FXD","Securitas B","2010",1
"Gross FXD","Securitas B","2010",2001
"DERIV","Securitas B","2010",0.03
"R&D/sales","Securitas B","2010",0
"Leverage","Securitas B","2010",0.94
"Quick ratio","Securitas B","2010",0.19
"Capex/sales","Securitas B","2010",0.015
"ROA ","Securitas B","2010",0.063
"DD","Securitas B","2010",1
"ID","Securitas B","2010",0
"DE","Securitas B","2010",414.2
"DDE","Securitas B","2010",1
"SIZE","Skanska B","2010",11.26
"Sales","Skanska B","2010",122224
"FSD","Skanska B","2010",1
"FSTS","Skanska B","2010",0.77
"Tobin's Q","Skanska B","2010",1.44
"FXD","Skanska B","2010",1
"Gross FXD","Skanska B","2010",12133
"DERIV","Skanska B","2010",0.1
"R&D/sales","Skanska B","2010",0.00035
"Leverage","Skanska B","2010",0.71
"Quick ratio","Skanska B","2010",0.13
"Capex/sales","Skanska B","2010",0.017
"ROA ","Skanska B","2010",0.052
"DD","Skanska B","2010",1
"ID","Skanska B","2010",0
"DE","Skanska B","2010",490
"DDE","Skanska B","2010",1
"SIZE","SKF B","2010",10.9
"Sales","SKF B","2010",61029
"FSD","SKF B","2010",1
"FSTS","SKF B","2010",0.969
"Tobin's Q","SKF B","2010",2.24
"FXD","SKF B","2010",1
"Gross FXD","SKF B","2010",8932
"DERIV","SKF B","2010",0.15
"R&D/sales","SKF B","2010",0.019
"Leverage","SKF B","2010",0.84
"Quick ratio","SKF B","2010",0.18
"Capex/sales","SKF B","2010",0.027
"ROA ","SKF B","2010",0.097
"DD","SKF B","2010",1
"ID","SKF B","2010",1
"DE","SKF B","2010",-616
"DDE","SKF B","2010",0
"SIZE","SSAB A","2010",11.02
"Sales","SSAB A","2010",39883
"FSD","SSAB A","2010",1
"FSTS","SSAB A","2010",0.78
"Tobin's Q","SSAB A","2010",1.11
"FXD","SSAB A","2010",1
"Gross FXD","SSAB A","2010",5496
"DERIV","SSAB A","2010",0.14
"R&D/sales","SSAB A","2010",0.0048
"Leverage","SSAB A","2010",0.67
"Quick ratio","SSAB A","2010",0.15
"Capex/sales","SSAB A","2010",0.05
"ROA ","SSAB A","2010",0.009
"DD","SSAB A","2010",1
"ID","SSAB A","2010",0
"DE","SSAB A","2010",780
"DDE","SSAB A","2010",1
"SIZE","Sweco ","2010",8
"Sales","Sweco ","2010",5272
"FSD","Sweco ","2010",1
"FSTS","Sweco ","2010",0.44
"Tobin's Q","Sweco ","2010",2.33
"FXD","Sweco ","2010",0
"Gross FXD","Sweco ","2010",0
"DERIV","Sweco ","2010",0
"R&D/sales","Sweco ","2010",0
"Leverage","Sweco ","2010",0.1
"Quick ratio","Sweco ","2010",0.27
"Capex/sales","Sweco ","2010",0.015
"ROA ","Sweco ","2010",0.1
"DD","Sweco ","2010",1
"ID","Sweco ","2010",0
"DE","Sweco ","2010",0
"DDE","Sweco ","2010",0
"SIZE","Swedish match","2010",9.6
"Sales","Swedish match","2010",13606
"FSD","Swedish match","2010",1
"FSTS","Swedish match","2010",0.58
"Tobin's Q","Swedish match","2010",2.37
"FXD","Swedish match","2010",1
"Gross FXD","Swedish match","2010",7081
"DERIV","Swedish match","2010",0.52
"R&D/sales","Swedish match","2010",0.0071
"Leverage","Swedish match","2010",0.51
"Quick ratio","Swedish match","2010",0.94
"Capex/sales","Swedish match","2010",0.023
"ROA ","Swedish match","2010",0.2
"DD","Swedish match","2010",1
"ID","Swedish match","2010",0
"DE","Swedish match","2010",34
"DDE","Swedish match","2010",1
"SIZE","Tele2 B","2010",10.65
"Sales","Tele2 B","2010",30443
"FSD","Tele2 B","2010",1
"FSTS","Tele2 B","2010",0.92
"Tobin's Q","Tele2 B","2010",1.78
"FXD","Tele2 B","2010",1
"Gross FXD","Tele2 B","2010",1198
"DERIV","Tele2 B","2010",0.04
"R&D/sales","Tele2 B","2010",0
"Leverage","Tele2 B","2010",0.09
"Quick ratio","Tele2 B","2010",0.09
"Capex/sales","Tele2 B","2010",0.13
"ROA ","Tele2 B","2010",0.098
"DD","Tele2 B","2010",1
"ID","Tele2 B","2010",0
"DE","Tele2 B","2010",-4300
"DDE","Tele2 B","2010",0
"SIZE","TeliaSonera","2010",12.43
"Sales","TeliaSonera","2010",106979
"FSD","TeliaSonera","2010",1
"FSTS","TeliaSonera","2010",0.657
"Tobin's Q","TeliaSonera","2010",1.43
"FXD","TeliaSonera","2010",1
"Gross FXD","TeliaSonera","2010",10905
"DERIV","TeliaSonera","2010",0.1
"R&D/sales","TeliaSonera","2010",0.0075
"Leverage","TeliaSonera","2010",0.49
"Quick ratio","TeliaSonera","2010",0.47
"Capex/sales","TeliaSonera","2010",0.14
"ROA ","TeliaSonera","2010",0.094
"DD","TeliaSonera","2010",1
"ID","TeliaSonera","2010",0
"DE","TeliaSonera","2010",63
"DDE","TeliaSonera","2010",1
"SIZE","Volvo ","2010",12.67
"Sales","Volvo ","2010",264715
"FSD","Volvo ","2010",1
"FSTS","Volvo ","2010",0.953
"Tobin's Q","Volvo ","2010",1.55
"FXD","Volvo ","2010",1
"Gross FXD","Volvo ","2010",15362
"DERIV","Volvo ","2010",0.06
"R&D/sales","Volvo ","2010",0.049
"Leverage","Volvo ","2010",1.98
"Quick ratio","Volvo ","2010",0.25
"Capex/sales","Volvo ","2010",0.06
"ROA ","Volvo ","2010",0.035
"DD","Volvo ","2010",1
"ID","Volvo ","2010",1
"DE","Volvo ","2010",-351
"DDE","Volvo ","2010",-1
"SIZE","ÅF B","2010",8.3
"Sales","ÅF B","2010",4334
"FSD","ÅF B","2010",1
"FSTS","ÅF B","2010",0.32
"Tobin's Q","ÅF B","2010",1.6
"FXD","ÅF B","2010",0
"Gross FXD","ÅF B","2010",0
"DERIV","ÅF B","2010",0
"R&D/sales","ÅF B","2010",0
"Leverage","ÅF B","2010",0.12
"Quick ratio","ÅF B","2010",0.23
"Capex/sales","ÅF B","2010",0.008
"ROA ","ÅF B","2010",0.182
"DD","ÅF B","2010",1
"ID","ÅF B","2010",0
"DE","ÅF B","2010",0
"DDE","ÅF B","2010",0
"Total Assets","AAK","2010",9252
"Foreign sales","AAK","2010",12852
"BV equity","AAK","2010",3188
"Cash","AAK","2010",540
"Gross nominal value","AAK","2010",1217
"R&D expenses","AAK","2010",409
"Total debt","AAK","2010",3182
"Capex","AAK","2010",335
"Net income","AAK","2010",626
"Short term liabilities","AAK","2010",2578
"No of shares (millions)","AAK","2010",41
"Share price 31/12 (est = x cost of EQ - dividend)","AAK","2010",188.5
"Capitalization","AAK","2010",7728.5
"Total Assets","Active Biotech","2010",503.1
"Foreign sales","Active Biotech","2010",5.9
"BV equity","Active Biotech","2010",182
"Cash","Active Biotech","2010",131
"Gross nominal value","Active Biotech","2010",0
"R&D expenses","Active Biotech","2010",217.3
"Total debt","Active Biotech","2010",249.5
"Capex","Active Biotech","2010",91
"Net income","Active Biotech","2010",-221.1
"Short term liabilities","Active Biotech","2010",80
"No of shares (millions)","Active Biotech","2010",66
"Share price 31/12 (est = x cost of EQ - dividend)","Active Biotech","2010",169
"Capitalization","Active Biotech","2010",11154
"Total Assets","Alfa Laval","2010",27169
"Foreign sales","Alfa Laval","2010",23871
"BV equity","Alfa Laval","2010",13582
"Cash","Alfa Laval","2010",1328
"Gross nominal value","Alfa Laval","2010",6660
"R&D expenses","Alfa Laval","2010",625
"Total debt","Alfa Laval","2010",1352
"Capex","Alfa Laval","2010",429
"Net income","Alfa Laval","2010",3116
"Short term liabilities","Alfa Laval","2010",7954
"No of shares (millions)","Alfa Laval","2010",422
"Share price 31/12 (est = x cost of EQ - dividend)","Alfa Laval","2010",141.7
"Capitalization","Alfa Laval","2010",59797.4
"Total Assets","Arcam","2010",88.6
"Foreign sales","Arcam","2010",36.6
"BV equity","Arcam","2010",60.3
"Cash","Arcam","2010",23.2
"Gross nominal value","Arcam","2010",0
"R&D expenses","Arcam","2010",12.1
"Total debt","Arcam","2010",0
"Capex","Arcam","2010",5.7
"Net income","Arcam","2010",1.8
"Short term liabilities","Arcam","2010",28.3
"Capitalization","Arcam","2010",151.4
"Total Assets","ASSA ABLOY B","2010",45389
"Foreign sales","ASSA ABLOY B","2010",35018
"BV equity","ASSA ABLOY B","2010",20821
"Cash","ASSA ABLOY B","2010",1302
"Gross nominal value","ASSA ABLOY B","2010",4974
"R&D expenses","ASSA ABLOY B","2010",1015
"Total debt","ASSA ABLOY B","2010",10564
"Capex","ASSA ABLOY B","2010",708
"Net income","ASSA ABLOY B","2010",4080
"Short term liabilities","ASSA ABLOY B","2010",11120
"No of shares (millions)","ASSA ABLOY B","2010",366.2
"Share price 31/12 (est = x cost of EQ - dividend)","ASSA ABLOY B","2010",189.5
